modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_covariance_model,noise_correlation_length_mm,noise_correlation_kernel,johnson_electrode_area_cm2,johnson_lmax,johnson_bandwidth_hz,johnson_noise_diagonal,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,7347,256,256,22041,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.056857773803921846,29332.27526001881,75005.43518776442,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/c3930fc7.npz
eeg_openmeeg,EEG OpenMEEG,14355,256,256,43065,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05653910962298681,29648.987196207996,82741.69559114838,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/8f694651.npz
eeg_openmeeg,EEG OpenMEEG,18,512,512,54,54,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06324344937202968,16683.277737262506,16998.683455564493,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/56cbd0f6.npz
eeg_openmeeg,EEG OpenMEEG,43,512,512,129,129,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06030333622955016,24012.349333008176,26465.452482736644,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/11b47060.npz
eeg_openmeeg,EEG OpenMEEG,148,512,512,444,444,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05567147472966354,30765.156158563525,40682.7694912167,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/8ce0eaf1.npz
eeg_openmeeg,EEG OpenMEEG,302,512,512,906,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05862103783491624,28818.56453038154,44280.43879978536,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/161a599f.npz
eeg_openmeeg,EEG OpenMEEG,984,512,512,2952,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05743728745049293,29474.685899080578,55938.470905313705,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/edc84dc4.npz
eeg_openmeeg,EEG OpenMEEG,1842,512,512,5526,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05753720721783874,28885.04109252295,61280.39868123704,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/c6516d51.npz
eeg_openmeeg,EEG OpenMEEG,4347,512,512,13041,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05692791350004546,29249.855572604905,70828.6127482248,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/607de11a.npz
eeg_openmeeg,EEG OpenMEEG,7347,512,512,22041,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05696012194018235,28780.12707393542,75592.76799717138,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/5eb41342.npz
